"exp_id","date","rep_id","time","strain","dox","OD0","OD"
9,2025-03-20,1,7,"h1471",8,0.01,0.1
9,2025-03-20,1,7,"h1471",4,0.01,0.083
9,2025-03-20,1,7,"h1471",2,0.01,0.077
9,2025-03-20,1,7,"h1471",1,0.01,0.085
9,2025-03-20,1,7,"h1471",0,0.01,0.146
9,2025-03-20,2,7,"h1471",512,0.01,0.028
9,2025-03-20,2,7,"h1471",256,0.01,0.048
9,2025-03-20,2,7,"h1471",128,0.01,0.042
9,2025-03-20,2,7,"h1471",64,0.01,0.091
9,2025-03-20,2,7,"h1471",32,0.01,0.1
9,2025-03-20,2,7,"h1471",16,0.01,0.083
9,2025-03-20,2,7,"h1471",8,0.01,0.077
9,2025-03-20,2,7,"h1471",4,0.01,0.085
9,2025-03-20,2,7,"h1471",2,0.01,0.146
9,2025-03-20,2,7,"h1471",1,0.01,0.152
9,2025-03-20,2,7,"h1471",0,0.01,0.231
9,2025-03-20,1,7,"t1516",512,0.01,0.181
9,2025-03-20,1,7,"t1516",256,0.01,0.182
9,2025-03-20,1,7,"t1516",128,0.01,0.196
9,2025-03-20,1,7,"t1516",64,0.01,0.192
9,2025-03-20,1,7,"t1516",32,0.01,0.193
9,2025-03-20,1,7,"t1516",16,0.01,0.209
9,2025-03-20,1,7,"t1516",8,0.01,0.204
9,2025-03-20,1,7,"t1516",4,0.01,0.215
9,2025-03-20,1,7,"t1516",2,0.01,0.226
9,2025-03-20,1,7,"t1516",1,0.01,0.204
9,2025-03-20,1,7,"t1516",0,0.01,0.253
9,2025-03-20,2,7,"t1516",512,0.01,0.185
9,2025-03-20,2,7,"t1516",256,0.01,0.193
9,2025-03-20,2,7,"t1516",128,0.01,0.19
9,2025-03-20,2,7,"t1516",64,0.01,0.189
9,2025-03-20,2,7,"t1516",32,0.01,0.2
9,2025-03-20,2,7,"t1516",16,0.01,0.19
9,2025-03-20,2,7,"t1516",8,0.01,0.189
9,2025-03-20,2,7,"t1516",4,0.01,0.205
9,2025-03-20,2,7,"t1516",2,0.01,0.217
9,2025-03-20,2,7,"t1516",1,0.01,0.224
9,2025-03-20,2,7,"t1516",0,0.01,0.248
9,2025-03-20,1,7,"t1516",512,0.05,0.255
9,2025-03-20,1,7,"t1516",256,0.05,0.37
9,2025-03-20,1,7,"t1516",128,0.05,0.385
9,2025-03-20,1,7,"t1516",64,0.05,0.378
